Localización;Precio m2
España;9.2
Andalucía;7.2
Almería provincia;5.2
Almería;5.6
Cádiz provincia;6.6
Cádiz;7.9
Córdoba provincia;6.2
Córdoba;6.8
Granada provincia;6.2
Granada;7.0
Huelva provincia;6.0
Huelva;5.9
Jaén provincia;4.2
Jaén;5.4
Málaga provincia;8.7
Málaga;9.1
Sevilla provincia;7.7
Sevilla;8.9
Aragón;6.8
Huesca provincia;7.1
Huesca;5.8
Teruel provincia;4.3
Zaragoza provincia;6.9
Zaragoza;7.3
Asturias;6.6
Asturias;6.6
Oviedo;6.8
Baleares;11.8
Baleares;11.8
Palma de Mallorca;11.3
Canarias;8.7
Las Palmas;9.4
Las Palmas de Gran Canaria;9.2
Santa Cruz de Tenerife provincia;7.7
Santa Cruz de Tenerife;7.4
Cantabria;6.8
Cantabria;6.8
Santander;7.4
Castilla y León;5.8
Ávila provincia;4.1
Ávila;4.6
Burgos provincia;5.9
Burgos;6.5
León provincia;5.0
León;5.7
Palencia provincia;5.5
Palencia;5.9
Salamanca provincia;6.3
Salamanca;6.7
Segovia provincia;5.7
Segovia;6.7
Soria provincia;5.2
Soria;5.8
Valladolid provincia;6.1
Valladolid;6.4
Zamora provincia;4.4
Zamora;4.5
Castilla-La Mancha;4.8
Albacete provincia;5.3
Albacete;5.5
Ciudad Real provincia;4.7
Ciudad Real;5.1
Cuenca provincia;4.5
Cuenca;4.9
Guadalajara provincia;5.1
Guadalajara;5.8
Toledo provincia;4.6
Toledo;6.2
Cataluña;13.0
Barcelona provincia;14.1
Barcelona;16.3
Girona provincia;7.6
Girona;8.5
Lleida provincia;6.2
Lleida;5.9
Tarragona provincia;6.4
Tarragona;7.5
Ceuta;10.4
Ceuta provincia;10.4
Ceuta;10.4
Comunitat Valenciana;6.4
Alicante/Alacant;6.2
Alicante / Alacant;6.7
Castellón/Castelló;6.4
Castellón de la Plana / Castello de la Plana;5.3
Valencia/Valéncia;6.4
València;7.5
Euskadi;10.8
Álava;8.4
Vitoria-Gasteiz;8.9
Guipúzcoa;12.4
Donostia-San Sebastián;13.9
Vizcaya;10.5
Bilbao;11.4
Extremadura;4.7
Badajoz provincia;4.7
Badajoz;5.4
Cáceres provincia;4.6
Cáceres;4.9
Galicia;5.8
A Coruña provincia;5.5
A Coruña;7.1
Lugo provincia;4.5
Lugo;4.8
Ourense provincia;4.9
Ourense;5.1
Pontevedra provincia;6.7
Pontevedra;5.7
La Rioja;5.5
La Rioja;5.5
Logroño;6.0
Madrid Comunidad;12.7
Madrid provincia;12.7
Madrid;14.2
Melilla;8.5
Melilla provincia;8.5
Melilla;8.5
Murcia Región;5.3
Murcia provincia;5.3
Murcia;5.8
Navarra;7.0
Navarra;7.0
Pamplona/Iruña;7.7