CPRO,CMUN,NOMBRE,PROVINCIA,Poblacion_2030,renta_2030,score_total
03,140,Villena,Alicante/Alacant,33868.0,13.143,0.8955875346500346
30,039,Totana,Murcia,34798.0,13.337,0.8925042107661885
03,090,Mutxamel,Alicante/Alacant,28840.0,13.143,0.8486820492830107
06,153,Villanueva de la Serena,Badajoz,25556.0,12.911,0.8321085878778187
03,079,Ibi,Alicante/Alacant,24259.0,13.143,0.8059465623167545
15,019,Carballo,"Coruña, A",31643.0,,0.7977295380975753
41,053,Lebrija,Sevilla,27986.0,13.878,0.7961637519594043
46,094,Catarroja,Valencia/València,30385.0,,0.7859938379003366
30,038,"Torres de Cotillas, Las",Murcia,22788.0,13.337,0.7804646564189419
14,056,Puente Genil,Córdoba,29329.0,,0.7761425665106036
46,186,Paiporta,Valencia/València,29114.0,,0.7741368625818228
03,049,Callosa de Segura,Alicante/Alacant,20613.0,13.143,0.7719335552268245
30,033,Puerto Lumbreras,Murcia,19037.0,13.337,0.745472119503328
18,122,Loja,Granada,20257.0,13.586,0.7417603813818792
30,029,Mula,Murcia,17850.0,13.337,0.7343987680453612
18,062,Churriana de la Vega,Granada,18626.0,13.586,0.7265450180895929
21,055,Palos de la Frontera,Huelva,14518.0,12.982,0.724833071145965
21,013,Bollullos Par del Condado,Huelva,14435.0,12.982,0.7240587761409008
03,005,Albatera,Alicante/Alacant,14284.0,13.143,0.7128912288768057
13,056,Miguelturra,Ciudad Real,16485.0,13.516,0.7108149341907837
41,060,Marchena,Sevilla,18598.0,13.878,0.7085844566878012
21,072,Valverde del Camino,Huelva,12559.0,12.982,0.7065578432553523
14,042,Montilla,Córdoba,21263.0,,0.7008960181871322
13,079,"Solana, La",Ciudad Real,14600.0,13.516,0.6932300416058912
41,007,"Algaba, La",Sevilla,16913.0,13.878,0.692865335199449
11,016,Chipiona,Cádiz,20090.0,,0.6899532707059233
08,102,Igualada,Barcelona,43553.0,18.044,0.6888671875000001
30,020,Fortuna,Murcia,11940.0,13.337,0.6792652321425945
26,036,Calahorra,"Rioja, La",25906.0,15.589,0.673048795055385
45,142,Quintanar de la Orden,Toledo,10847.0,13.344,0.6686444935310362
46,007,Albal,Valencia/València,17787.0,,0.6684689165292614
06,122,"Santos de Maimona, Los",Badajoz,7894.0,12.911,0.6673423423423424
01,036,Laudio/Llodio,Araba/Álava,17590.0,,0.6666311319991691
30,007,Alguazas,Murcia,10576.0,13.337,0.6665406732641894
21,070,Trigueros,Huelva,8236.0,12.982,0.6662292010036333
18,153,Peligros,Granada,12160.0,13.586,0.666224638538444
14,007,Baena,Córdoba,17439.0,,0.6652224748212812
46,238,Tavernes de la Valldigna,Valencia/València,16929.0,,0.6604647585251033
46,085,Carlet,Valencia/València,16713.0,,0.6584497257408399
10,131,Navalmoral de la Mata,Cáceres,16542.0,,0.6568544914532979
45,106,Mora,Toledo,9546.0,13.344,0.6565076525480413
45,087,Madridejos,Toledo,9441.0,13.344,0.6555281227223577
06,054,Fuente del Maestre,Badajoz,6414.0,12.911,0.6535356362279439
03,096,Onil,Alicante/Alacant,7815.0,13.143,0.6525428627592089
03,058,Cox,Alicante/Alacant,7776.0,13.143,0.6521790373953835
41,041,Estepa,Sevilla,12108.0,13.878,0.6480401846050676
46,031,Alginet,Valencia/València,15491.0,,0.6470498643409784
45,041,Casarrubios del Monte,Toledo,7845.0,13.344,0.6406392693719658
41,023,Cantillana,Sevilla,10877.0,13.878,0.636556363505862
41,044,Gelves,Sevilla,10861.0,13.878,0.6364071018181388
23,024,"Carolina, La",Jaén,14080.0,,0.6338868492548864
45,201,Yeles,Toledo,7036.0,13.344,0.6330922252864603
41,094,Umbrete,Sevilla,10002.0,13.878,0.6283936149584981
46,135,Godella,Valencia/València,13375.0,,0.6273100061395818
18,149,Villa de Otura,Granada,7961.0,13.586,0.6270527743665799
14,002,Aguilar de la Frontera,Córdoba,13067.0,,0.6244367186509097
30,001,Abanilla,Murcia,6035.0,13.337,0.6241783405172414
41,067,Olivares,Sevilla,9408.0,13.878,0.6228522748017733
23,087,Torredonjimeno,Jaén,12822.0,,0.6221511490576478
41,092,Tocina,Sevilla,9151.0,13.878,0.620454758942719
13,019,Argamasilla de Alba,Ciudad Real,6667.0,13.516,0.6192242310616192
41,903,"Cuervo de Sevilla, El",Sevilla,8573.0,13.878,0.6150626804737174
46,256,Vilamarxant,Valencia/València,11891.0,,0.6134659846032526
41,045,Gerena,Sevilla,8222.0,13.878,0.6117882521992891
46,166,Meliana,Valencia/València,11318.0,,0.6081205504116645
46,249,Utiel,Valencia/València,11184.0,,0.6068704837769825
46,011,Alberic,Valencia/València,10927.0,,0.6044729679179282
46,165,Massanassa,Valencia/València,10841.0,,0.6036706863464159
41,098,Villanueva del Ariscal,Sevilla,7075.0,13.878,0.6010880549606303
41,010,Almensilla,Sevilla,7065.0,13.878,0.6009947664058033
41,064,Montellano,Sevilla,6914.0,13.878,0.5995861092279153
46,207,Rafelbunyol,Valencia/València,10003.0,,0.5958531054519118
16,190,San Clemente,Cuenca,6663.0,13.913,0.5951230686569298
46,109,Cheste,Valencia/València,9531.0,,0.5914498856640766
16,134,Motilla del Palancar,Cuenca,6190.0,13.913,0.5907105200136118
46,237,Tavernes Blanques,Valencia/València,9445.0,,0.5906476040925643
04,903,"Mojonera, La",Almería,9005.0,,0.5865429076801756
10,121,Miajadas,Cáceres,8849.0,,0.5850876062248742
12,077,Moncofa,Castellón/Castelló,8802.0,,0.5846491500171872
46,183,"Olleria, l'",Valencia/València,8460.0,,0.5814586814421032
26,018,Arnedo,"Rioja, La",15648.0,15.589,0.5773533955138315
46,126,Foios,Valencia/València,7983.0,,0.5770088173768546
46,082,Canet d'En Berenguer,Valencia/València,7729.0,,0.5746392880842484
11,901,Benalup-Casas Viejas,Cádiz,7244.0,,0.570114793175138
11,010,Bornos,Cádiz,7230.0,,0.5699841891983802
11,037,Trebujena,Cádiz,6944.0,,0.5673161365303276
12,011,Almenara,Castellón/Castelló,6934.0,,0.5672228479755006
19,024,Alovera,Guadalajara,14285.0,15.572,0.565668607301254
11,029,Puerto Serrano,Cádiz,6720.0,,0.5652264729022024
23,088,Torreperogil,Jaén,6699.0,,0.5650305669370657
10,180,Talayuela,Cáceres,6672.0,,0.5647786878390327
04,101,Viator,Almería,6593.0,,0.5640417082558993
15,092,Vimianzo,"Coruña, A",6158.0,,0.5599836561209242
50,067,Calatayud,Zaragoza,19588.0,16.55,0.5558588167191243
26,084,Lardero,"Rioja, La",13161.0,15.589,0.5541525319283525
19,058,Cabanillas del Campo,Guadalajara,12436.0,15.572,0.5484195535137387
22,112,Fraga,Huesca,15814.0,16.178,0.5432002075067186
49,219,Toro,Zamora,7569.0,14.917,0.5427183306897747
27,902,Burela,Lugo,9306.0,15.248,0.5388592444735723
32,058,"Pereiro de Aguiar, O",Ourense,6920.0,14.928,0.5359971470159841
26,168,Villamediana de Iregua,"Rioja, La",10097.0,15.589,0.5255689187293546
08,147,Olesa de Montserrat,Barcelona,25226.0,18.044,0.5178972530685271
43,133,Roquetes,Tarragona,8242.0,15.475,0.5151739133606674
08,221,Sant Just Desvern,Barcelona,23671.0,18.044,0.5033908827929261
08,076,Esparreguera,Barcelona,23216.0,18.044,0.49914625354829684
19,319,Villanueva de la Torre,Guadalajara,6707.0,15.572,0.49497454045334105
17,089,Llagostera,Girona,10008.0,16.094,0.49412846740173905
08,112,Manlleu,Barcelona,22086.0,18.044,0.488604646852844
25,019,Almacelles,Lleida,6970.0,15.78,0.48482027082460194
17,193,Sils,Girona,7295.0,16.094,0.46881928247716953
08,046,Cardedeu,Barcelona,19742.0,18.044,0.4667378096013914
07,008,Binissalem,"Balears, Illes",10431.0,16.779,0.45655382973643915
08,041,Canovelles,Barcelona,18147.0,18.044,0.45185828510648224
08,006,Arenys de Mar,Barcelona,17287.0,18.044,0.44383546939135887
08,072,Corbera de Llobregat,Barcelona,16493.0,18.044,0.4364283581380937
50,252,Tauste,Zaragoza,6672.0,16.55,0.43536731930454997
28,172,Villalbilla,Madrid,20096.0,19.096,0.4062740606491643
08,197,Sant Andreu de Llavaneres,Barcelona,12735.0,18.044,0.401370519234101
28,177,Villanueva del Pardillo,Madrid,18287.0,19.096,0.38939816108095704
08,155,Palafolls,Barcelona,10460.0,18.044,0.3801473730109548
08,267,Sentmenat,Barcelona,10317.0,18.044,0.37881334667692845
08,209,Sant Fost de Campsentelles,Barcelona,9641.0,18.044,0.3725070403706221
08,214,Vilassar de Dalt,Barcelona,9392.0,18.044,0.3701841553554294
08,091,Gelida,Barcelona,8580.0,18.044,0.3626091247034757
08,198,Sant Antoni de Vilamajor,Barcelona,7250.0,18.044,0.35020174691148254
08,183,Roda de Ter,Barcelona,7160.0,18.044,0.3493621499180394
08,191,Sallent,Barcelona,6996.0,18.044,0.3478322176188763
08,075,Dosrius,Barcelona,6538.0,18.044,0.343559601807799
20,902,Lasarte-Oria,Gipuzkoa,20043.0,20.335,0.33067860760168455
28,075,Loeches,Madrid,9838.0,19.096,0.3105786611076109
31,077,Corella,Navarra,9317.0,19.181,0.30056611834939917
31,902,Berrioplano/Berriobeiti,Navarra,8587.0,19.181,0.29375605384702697
28,059,Fuente el Saz de Jarama,Madrid,7820.0,19.096,0.29175303074351905
28,067,Guadalix de la Sierra,Madrid,7531.0,19.096,0.28905699150901826
20,903,Astigarraga,Gipuzkoa,9479.0,20.335,0.23212857828242445
20,051,Legazpi,Gipuzkoa,8145.0,20.335,0.21968388506850045
20,061,Orio,Gipuzkoa,6449.0,20.335,0.2038621461698385
20,072,Urnieta,Gipuzkoa,6125.0,20.335,0.20083959699344317
